Policy Area,Dataset,Variable,Year,Amount,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Employment & Income,Income,Median Household Income,2015,55457,"Census Tract 1222, Los Angeles County, California",122200,Sun Valley,1400000US06037122200,"(34.214391, -118.3596165)",Median_Household_Income_2015_1400000US06037122200,01/01/2015
Employment & Income,Income,Median Household Income,2015,31667,"Census Tract 1201.04, Los Angeles County, California",120104,Panorama City,1400000US06037120104,"(34.224796, -118.4484845)",Median_Household_Income_2015_1400000US06037120104,01/01/2015
Employment & Income,Income,Median Household Income,2016,52978,"Census Tract 9106.05, Los Angeles County, California",910605,Palmdale,1400000US06037910605,"(34.569375, -118.0672205)",Median_Household_Income_2016_1400000US06037910605,01/01/2016
Employment & Income,Income,Median Household Income,2012,35993,"Census Tract 5358.03, Los Angeles County, California",535803,South Gate,1400000US06037535803,"(33.948089, -118.210065)",Median_Household_Income_2012_1400000US06037535803,01/01/2012
Employment & Income,Income,Median Household Income,2014,21369,"Census Tract 1904.02, Los Angeles County, California",190402,Los Feliz,1400000US06037190402,"(34.103557, -118.307149)",Median_Household_Income_2014_1400000US06037190402,01/01/2014
Employment & Income,Income,Median Household Income,2011,52581,"Census Tract 5362, Los Angeles County, California",536200,South Gate,1400000US06037536200,"(33.920337, -118.1664535)",Median_Household_Income_2011_1400000US06037536200,01/01/2011
Employment & Income,Income,Median Household Income,2010,50018,"Census Tract 1231.03, Los Angeles County, California",123103,North Hollywood,1400000US06037123103,"(34.1906295, -118.365029)",Median_Household_Income_2010_1400000US06037123103,01/01/2010
Employment & Income,Income,Median Household Income,2011,70858,"Census Tract 5020.05, Los Angeles County, California",502005,South Whittier,1400000US06037502005,"(33.951895, -118.03503)",Median_Household_Income_2011_1400000US06037502005,01/01/2011
Employment & Income,Income,Median Household Income,2011,105259,"Census Tract 4034.08, Los Angeles County, California",403408,Walnut,1400000US06037403408,"(34.024588, -117.881909)",Median_Household_Income_2011_1400000US06037403408,01/01/2011
Employment & Income,Income,Median Household Income,2011,42576,"Census Tract 3015.02, Los Angeles County, California",301502,Glendale,1400000US06037301502,"(34.172168, -118.2889385)",Median_Household_Income_2011_1400000US06037301502,01/01/2011
Employment & Income,Income,Median Household Income,2015,28750,"Census Tract 2396.02, Los Angeles County, California",239602,Florence,1400000US06037239602,"(33.9695945, -118.2751195)",Median_Household_Income_2015_1400000US06037239602,01/01/2015
Employment & Income,Income,Median Household Income,2015,93031,"Census Tract 2951.03, Los Angeles County, California",295103,San Pedro,1400000US06037295103,"(33.760268, -118.2968435)",Median_Household_Income_2015_1400000US06037295103,01/01/2015
Employment & Income,Income,Median Household Income,2012,78134,"Census Tract 4826, Los Angeles County, California",482600,Monterey Park,1400000US06037482600,"(34.047759, -118.1144605)",Median_Household_Income_2012_1400000US06037482600,01/01/2012
Employment & Income,Income,Median Household Income,2016,65441,"Census Tract 1312, Los Angeles County, California",131200,Lake Balboa,1400000US06037131200,"(34.2147545, -118.514238)",Median_Household_Income_2016_1400000US06037131200,01/01/2016
Employment & Income,Income,Median Household Income,2016,71030,"Census Tract 4003.04, Los Angeles County, California",400304,San Dimas,1400000US06037400304,"(34.1050345, -117.7997755)",Median_Household_Income_2016_1400000US06037400304,01/01/2016
Employment & Income,Income,Median Household Income,2010,29032,"Census Tract 2323, Los Angeles County, California",232300,Vermont Square,1400000US06037232300,"(33.9975775, -118.29803)",Median_Household_Income_2010_1400000US06037232300,01/01/2010
Employment & Income,Income,Median Household Income,2012,42300,"Census Tract 4622.02, Los Angeles County, California",462202,Pasadena,1400000US06037462202,"(34.148926, -118.1369075)",Median_Household_Income_2012_1400000US06037462202,01/01/2012
Employment & Income,Income,Median Household Income,2012,31490,"Census Tract 5765.01, Los Angeles County, California",576501,Long Beach,1400000US06037576501,"(33.7722045, -118.179118)",Median_Household_Income_2012_1400000US06037576501,01/01/2012
Employment & Income,Income,Median Household Income,2014,63750,"Census Tract 2751.01, Los Angeles County, California",275101,Del Rey,1400000US06037275101,"(33.99916, -118.4045585)",Median_Household_Income_2014_1400000US06037275101,01/01/2014
Employment & Income,Income,Median Household Income,2010,60565,"Census Tract 6006.01, Los Angeles County, California",600601,Inglewood,1400000US06037600601,"(33.941846, -118.3220505)",Median_Household_Income_2010_1400000US06037600601,01/01/2010
Employment & Income,Income,Median Household Income,2011,149432,"Census Tract 1416, Los Angeles County, California",141600,Sherman Oaks,1400000US06037141600,"(34.1376705, -118.459396)",Median_Household_Income_2011_1400000US06037141600,01/01/2011
Employment & Income,Income,Median Household Income,2014,81375,"Census Tract 9102.05, Los Angeles County, California",910205,Southeast Antelope Valley,1400000US06037910205,"(34.530174, -118.1365825)",Median_Household_Income_2014_1400000US06037910205,01/01/2014
Employment & Income,Income,Median Household Income,2016,69743,"Census Tract 4067.02, Los Angeles County, California",406702,West Covina,1400000US06037406702,"(34.0638995, -117.9353755)",Median_Household_Income_2016_1400000US06037406702,01/01/2016
Employment & Income,Income,Median Household Income,2014,91130,"Census Tract 1131.01, Los Angeles County, California",113101,Chatsworth,1400000US06037113101,"(34.265338, -118.5882575)",Median_Household_Income_2014_1400000US06037113101,01/01/2014
Employment & Income,Income,Median Household Income,2014,83608,"Census Tract 7009.01, Los Angeles County, California",700901,Pico-Robertson,1400000US06037700901,"(34.0620675, -118.3809415)",Median_Household_Income_2014_1400000US06037700901,01/01/2014
Employment & Income,Income,Median Household Income,2016,57672,"Census Tract 5440.01, Los Angeles County, California",544001,Carson,1400000US06037544001,"(33.8395345, -118.2156975)",Median_Household_Income_2016_1400000US06037544001,01/01/2016
Employment & Income,Income,Median Household Income,2010,48542,"Census Tract 5431, Los Angeles County, California",543100,Carson,1400000US06037543100,"(33.8808295, -118.2532615)",Median_Household_Income_2010_1400000US06037543100,01/01/2010
Employment & Income,Income,Median Household Income,2010,60609,"Census Tract 5300.06, Los Angeles County, California",530006,Montebello,1400000US06037530006,"(34.0207055, -118.113921)",Median_Household_Income_2010_1400000US06037530006,01/01/2010
Employment & Income,Income,Median Household Income,2014,,"Census Tract 5041.02, Los Angeles County, California",504102,Norwalk,1400000US06037504102,"(33.8999125, -118.0464285)",Median_Household_Income_2014_1400000US06037504102,01/01/2014
Employment & Income,Income,Median Household Income,2014,80968,"Census Tract 1352.03, Los Angeles County, California",135203,West Hills,1400000US06037135203,"(34.1943875, -118.6552165)",Median_Household_Income_2014_1400000US06037135203,01/01/2014
Employment & Income,Income,Median Household Income,2016,84615,"Census Tract 2146, Los Angeles County, California",214600,Beverly Grove,1400000US06037214600,"(34.0725795, -118.365913)",Median_Household_Income_2016_1400000US06037214600,01/01/2016
Employment & Income,Income,Median Household Income,2010,53190,"Census Tract 5705.02, Los Angeles County, California",570502,Long Beach,1400000US06037570502,"(33.867406, -118.167641)",Median_Household_Income_2010_1400000US06037570502,01/01/2010
Employment & Income,Income,Median Household Income,2010,37953,"Census Tract 1172.01, Los Angeles County, California",117201,North Hills,1400000US06037117201,"(34.242798, -118.470143)",Median_Household_Income_2010_1400000US06037117201,01/01/2010
Employment & Income,Income,Median Household Income,2014,107500,"Census Tract 2654.10, Los Angeles County, California",265410,Brentwood,1400000US06037265410,"(34.06678, -118.4636105)",Median_Household_Income_2014_1400000US06037265410,01/01/2014
Employment & Income,Income,Median Household Income,2013,26705,"Census Tract 2371.02, Los Angeles County, California",237102,Vermont-Slauson,1400000US06037237102,"(33.9856665, -118.283741)",Median_Household_Income_2013_1400000US06037237102,01/01/2013
Employment & Income,Income,Median Household Income,2016,69583,"Census Tract 5037.01, Los Angeles County, California",503701,East La Mirada,1400000US06037503701,"(33.9274675, -117.9953465)",Median_Household_Income_2016_1400000US06037503701,01/01/2016
Employment & Income,Income,Median Household Income,2016,29942,"Census Tract 1914.10, Los Angeles County, California",191410,East Hollywood,1400000US06037191410,"(34.0887575, -118.288114)",Median_Household_Income_2016_1400000US06037191410,01/01/2016
Employment & Income,Income,Median Household Income,2015,50842,"Census Tract 6009.11, Los Angeles County, California",600911,Inglewood,1400000US06037600911,"(33.978118, -118.3523905)",Median_Household_Income_2015_1400000US06037600911,01/01/2015
Employment & Income,Income,Median Household Income,2011,82308,"Census Tract 2147, Los Angeles County, California",214700,Beverly Grove,1400000US06037214700,"(34.0665205, -118.366383)",Median_Household_Income_2011_1400000US06037214700,01/01/2011
Employment & Income,Income,Median Household Income,2015,81133,"Census Tract 5722.02, Los Angeles County, California",572202,Long Beach,1400000US06037572202,"(33.8080025, -118.193957)",Median_Household_Income_2015_1400000US06037572202,01/01/2015
Employment & Income,Income,Median Household Income,2012,42241,"Census Tract 2346, Los Angeles County, California",234600,Hyde Park,1400000US06037234600,"(33.9926585, -118.327201)",Median_Household_Income_2012_1400000US06037234600,01/01/2012
Employment & Income,Income,Median Household Income,2015,34622,"Census Tract 9007.04, Los Angeles County, California",900704,Lancaster,1400000US06037900704,"(34.6603865, -118.137914)",Median_Household_Income_2015_1400000US06037900704,01/01/2015
Employment & Income,Income,Median Household Income,2011,32692,"Census Tract 6003.04, Los Angeles County, California",600304,Westmont,1400000US06037600304,"(33.9354725, -118.2940895)",Median_Household_Income_2011_1400000US06037600304,01/01/2011
Employment & Income,Income,Median Household Income,2010,70335,"Census Tract 1941.01, Los Angeles County, California",194101,Hollywood Hills West,1400000US06037194101,"(34.113159, -118.352492)",Median_Household_Income_2010_1400000US06037194101,01/01/2010
Employment & Income,Income,Median Household Income,2010,19941,"Census Tract 2962.20, Los Angeles County, California",296220,San Pedro,1400000US06037296220,"(33.74101, -118.2837425)",Median_Household_Income_2010_1400000US06037296220,01/01/2010
Employment & Income,Income,Median Household Income,2011,,"Census Tract 5747, Los Angeles County, California",574700,Long Beach,1400000US06037574700,"(33.778316, -118.118802)",Median_Household_Income_2011_1400000US06037574700,01/01/2011
Employment & Income,Income,Median Household Income,2012,25913,"Census Tract 7001.02, Los Angeles County, California",700102,West Hollywood,1400000US06037700102,"(34.0889685, -118.3524115)",Median_Household_Income_2012_1400000US06037700102,01/01/2012
Employment & Income,Income,Median Household Income,2014,,"Census Tract 9800.09, Los Angeles County, California",980009,Griffith Park,1400000US06037980009,"(34.136859, -118.3012315)",Median_Household_Income_2014_1400000US06037980009,01/01/2014
Employment & Income,Income,Median Household Income,2014,28600,"Census Tract 2051.10, Los Angeles County, California",205110,Boyle Heights,1400000US06037205110,"(34.0244945, -118.214114)",Median_Household_Income_2014_1400000US06037205110,01/01/2014
Employment & Income,Income,Median Household Income,2015,75750,"Census Tract 1375.02, Los Angeles County, California",137502,Woodland Hills,1400000US06037137502,"(34.163679, -118.596991)",Median_Household_Income_2015_1400000US06037137502,01/01/2015
Employment & Income,Income,Median Household Income,2012,60083,"Census Tract 2772, Los Angeles County, California",277200,Westchester,1400000US06037277200,"(33.952729, -118.381902)",Median_Household_Income_2012_1400000US06037277200,01/01/2012
Employment & Income,Income,Median Household Income,2015,82426,"Census Tract 4631.02, Los Angeles County, California",463102,Pasadena,1400000US06037463102,"(34.137723, -118.083735)",Median_Household_Income_2015_1400000US06037463102,01/01/2015
Employment & Income,Income,Median Household Income,2015,40864,"Census Tract 6010.02, Los Angeles County, California",601002,Inglewood,1400000US06037601002,"(33.9571955, -118.348273)",Median_Household_Income_2015_1400000US06037601002,01/01/2015
Employment & Income,Income,Median Household Income,2011,85147,"Census Tract 7012.02, Los Angeles County, California",701202,Santa Monica,1400000US06037701202,"(34.033922, -118.489809)",Median_Household_Income_2011_1400000US06037701202,01/01/2011
Employment & Income,Income,Median Household Income,2014,79139,"Census Tract 1813, Los Angeles County, California",181300,Eagle Rock,1400000US06037181300,"(34.1364875, -118.2233065)",Median_Household_Income_2014_1400000US06037181300,01/01/2014
Employment & Income,Income,Median Household Income,2011,40319,"Census Tract 5356.04, Los Angeles County, California",535604,South Gate,1400000US06037535604,"(33.950341, -118.224549)",Median_Household_Income_2011_1400000US06037535604,01/01/2011
Employment & Income,Income,Median Household Income,2010,100840,"Census Tract 5709.01, Los Angeles County, California",570901,Lakewood,1400000US06037570901,"(33.852278, -118.1081355)",Median_Household_Income_2010_1400000US06037570901,01/01/2010
Employment & Income,Income,Median Household Income,2014,83160,"Census Tract 5038.01, Los Angeles County, California",503801,La Mirada,1400000US06037503801,"(33.899102856233, -117.9936485)",Median_Household_Income_2014_1400000US06037503801,01/01/2014
Employment & Income,Income,Median Household Income,2016,127813,"Census Tract 9200.15, Los Angeles County, California",920015,Santa Clarita,1400000US06037920015,"(34.4718625, -118.527824)",Median_Household_Income_2016_1400000US06037920015,01/01/2016
Employment & Income,Income,Median Household Income,2011,71879,"Census Tract 6508, Los Angeles County, California",650800,Torrance,1400000US06037650800,"(33.8266215, -118.3366605)",Median_Household_Income_2011_1400000US06037650800,01/01/2011
Employment & Income,Income,Median Household Income,2014,67308,"Census Tract 4086.28, Los Angeles County, California",408628,Hacienda Heights,1400000US06037408628,"(33.9825995, -117.9424605)",Median_Household_Income_2014_1400000US06037408628,01/01/2014
Employment & Income,Income,Median Household Income,2011,60541,"Census Tract 1413.04, Los Angeles County, California",141304,Sherman Oaks,1400000US06037141304,"(34.151617, -118.454058)",Median_Household_Income_2011_1400000US06037141304,01/01/2011
Employment & Income,Income,Median Household Income,2015,30196,"Census Tract 3022.02, Los Angeles County, California",302202,Glendale,1400000US06037302202,"(34.1405075, -118.2484035)",Median_Household_Income_2015_1400000US06037302202,01/01/2015
Employment & Income,Income,Median Household Income,2015,70089,"Census Tract 1288.02, Los Angeles County, California",128802,Sherman Oaks,1400000US06037128802,"(34.1684825, -118.455251)",Median_Household_Income_2015_1400000US06037128802,01/01/2015
Employment & Income,Income,Median Household Income,2010,64913,"Census Tract 5434, Los Angeles County, California",543400,Carson,1400000US06037543400,"(33.853193, -118.273818)",Median_Household_Income_2010_1400000US06037543400,01/01/2010
Employment & Income,Income,Median Household Income,2010,95128,"Census Tract 7030.02, Los Angeles County, California",703002,Ladera Heights,1400000US06037703002,"(33.9874395, -118.373906)",Median_Household_Income_2010_1400000US06037703002,01/01/2010
Employment & Income,Income,Median Household Income,2012,74940,"Census Tract 1831.04, Los Angeles County, California",183104,Highland Park,1400000US06037183104,"(34.120221, -118.172802)",Median_Household_Income_2012_1400000US06037183104,01/01/2012
Employment & Income,Income,Median Household Income,2012,49259,"Census Tract 3025.06, Los Angeles County, California",302506,Glendale,1400000US06037302506,"(34.1289675, -118.246127)",Median_Household_Income_2012_1400000US06037302506,01/01/2012
Employment & Income,Income,Median Household Income,2016,53503,"Census Tract 6034, Los Angeles County, California",603400,Gardena,1400000US06037603400,"(33.8932645, -118.313471)",Median_Household_Income_2016_1400000US06037603400,01/01/2016
Employment & Income,Income,Median Household Income,2013,37417,"Census Tract 3203, Los Angeles County, California",320300,San Fernando,1400000US06037320300,"(34.2823865, -118.44586)",Median_Household_Income_2013_1400000US06037320300,01/01/2013
Employment & Income,Income,Median Household Income,2010,44444,"Census Tract 2346, Los Angeles County, California",234600,Hyde Park,1400000US06037234600,"(33.9926585, -118.327201)",Median_Household_Income_2010_1400000US06037234600,01/01/2010
Employment & Income,Income,Median Household Income,2010,54063,"Census Tract 4081.40, Los Angeles County, California",408140,South San Jose Hills,1400000US06037408140,"(34.0091825, -117.9035275)",Median_Household_Income_2010_1400000US06037408140,01/01/2010
Employment & Income,Income,Median Household Income,2013,37067,"Census Tract 5754.01, Los Angeles County, California",575401,Long Beach,1400000US06037575401,"(33.7863985, -118.199662)",Median_Household_Income_2013_1400000US06037575401,01/01/2013
Employment & Income,Income,Median Household Income,2013,19519,"Census Tract 1151.03, Los Angeles County, California",115103,Northridge,1400000US06037115103,"(34.246414, -118.528551)",Median_Household_Income_2013_1400000US06037115103,01/01/2013
Employment & Income,Income,Median Household Income,2013,47800,"Census Tract 1046.20, Los Angeles County, California",104620,Pacoima,1400000US06037104620,"(34.2579045, -118.422465)",Median_Household_Income_2013_1400000US06037104620,01/01/2013
Employment & Income,Income,Median Household Income,2015,32961,"Census Tract 5426.01, Los Angeles County, California",542601,Compton,1400000US06037542601,"(33.90616, -118.226784)",Median_Household_Income_2015_1400000US06037542601,01/01/2015
Employment & Income,Income,Median Household Income,2013,42835,"Census Tract 2291, Los Angeles County, California",229100,Central-Alameda,1400000US06037229100,"(33.992164, -118.2520985)",Median_Household_Income_2013_1400000US06037229100,01/01/2013
Employment & Income,Income,Median Household Income,2012,42639,"Census Tract 2182.20, Los Angeles County, California",218220,Mid-City,1400000US06037218220,"(34.043498, -118.334779)",Median_Household_Income_2012_1400000US06037218220,01/01/2012
Employment & Income,Income,Median Household Income,2015,29938,"Census Tract 2243.20, Los Angeles County, California",224320,Pico-Union,1400000US06037224320,"(34.041517, -118.2804885)",Median_Household_Income_2015_1400000US06037224320,01/01/2015
Employment & Income,Income,Median Household Income,2013,57820,"Census Tract 4081.41, Los Angeles County, California",408141,South San Jose Hills,1400000US06037408141,"(34.0082915, -117.8946755)",Median_Household_Income_2013_1400000US06037408141,01/01/2013
Employment & Income,Income,Median Household Income,2014,73696,"Census Tract 5542.01, Los Angeles County, California",554201,Bellflower,1400000US06037554201,"(33.883853, -118.1382725)",Median_Household_Income_2014_1400000US06037554201,01/01/2014
Employment & Income,Income,Median Household Income,2011,32319,"Census Tract 1911.20, Los Angeles County, California",191120,East Hollywood,1400000US06037191120,"(34.0929955, -118.3048465)",Median_Household_Income_2011_1400000US06037191120,01/01/2011
Employment & Income,Income,Median Household Income,2010,42083,"Census Tract 2121.01, Los Angeles County, California",212101,Koreatown,1400000US06037212101,"(34.0635935, -118.29414)",Median_Household_Income_2010_1400000US06037212101,01/01/2010
Employment & Income,Income,Median Household Income,2016,73643,"Census Tract 4308.01, Los Angeles County, California",430801,Arcadia,1400000US06037430801,"(34.1375775, -118.0259295)",Median_Household_Income_2016_1400000US06037430801,01/01/2016
Employment & Income,Income,Median Household Income,2015,84667,"Census Tract 9201.12, Los Angeles County, California",920112,Santa Clarita,1400000US06037920112,"(34.435109, -118.538718)",Median_Household_Income_2015_1400000US06037920112,01/01/2015
Employment & Income,Income,Median Household Income,2011,52005,"Census Tract 5548.02, Los Angeles County, California",554802,Artesia,1400000US06037554802,"(33.8693975, -118.080643)",Median_Household_Income_2011_1400000US06037554802,01/01/2011
Employment & Income,Income,Median Household Income,2011,136591,"Census Tract 9108.11, Los Angeles County, California",910811,Tujunga Canyons,1400000US06037910811,"(34.429045, -118.186203)",Median_Household_Income_2011_1400000US06037910811,01/01/2011
Employment & Income,Income,Median Household Income,2014,128214,"Census Tract 2781.02, Los Angeles County, California",278102,Playa del Rey,1400000US06037278102,"(33.96269392, -118.4444466)",Median_Household_Income_2014_1400000US06037278102,01/01/2014
Employment & Income,Income,Median Household Income,2016,52240,"Census Tract 4017.04, Los Angeles County, California",401704,Pomona,1400000US06037401704,"(34.1009125, -117.7404545)",Median_Household_Income_2016_1400000US06037401704,01/01/2016
Employment & Income,Income,Median Household Income,2011,31844,"Census Tract 6029, Los Angeles County, California",602900,Gardena,1400000US06037602900,"(33.908722, -118.304711)",Median_Household_Income_2011_1400000US06037602900,01/01/2011
Employment & Income,Income,Median Household Income,2012,37064,"Census Tract 2013.01, Los Angeles County, California",201301,Montecito Heights,1400000US06037201301,"(34.088628, -118.187094)",Median_Household_Income_2012_1400000US06037201301,01/01/2012
Employment & Income,Income,Median Household Income,2013,54702,"Census Tract 1891.01, Los Angeles County, California",189101,Los Feliz,1400000US06037189101,"(34.1047355, -118.2885045)",Median_Household_Income_2013_1400000US06037189101,01/01/2013
Employment & Income,Income,Median Household Income,2012,38088,"Census Tract 5348.04, Los Angeles County, California",534804,Walnut Park,1400000US06037534804,"(33.963155, -118.226586)",Median_Household_Income_2012_1400000US06037534804,01/01/2012
Employment & Income,Income,Median Household Income,2016,101964,"Census Tract 6707.01, Los Angeles County, California",670701,San Pedro,1400000US06037670701,"(33.7630595, -118.3098)",Median_Household_Income_2016_1400000US06037670701,01/01/2016
Employment & Income,Income,Median Household Income,2012,57650,"Census Tract 2913, Los Angeles County, California",291300,Gardena,1400000US06037291300,"(33.8659415, -118.295352)",Median_Household_Income_2012_1400000US06037291300,01/01/2012
Employment & Income,Income,Median Household Income,2013,60784,"Census Tract 9010.11, Los Angeles County, California",901011,Lancaster,1400000US06037901011,"(34.6675775, -118.1745715)",Median_Household_Income_2013_1400000US06037901011,01/01/2013
Employment & Income,Income,Median Household Income,2010,84375,"Census Tract 1131.01, Los Angeles County, California",113101,Chatsworth,1400000US06037113101,"(34.265338, -118.5882575)",Median_Household_Income_2010_1400000US06037113101,01/01/2010
Employment & Income,Income,Median Household Income,2014,20683,"Census Tract 5331.04, Los Angeles County, California",533104,Huntington Park,1400000US06037533104,"(33.976533, -118.224446)",Median_Household_Income_2014_1400000US06037533104,01/01/2014
Employment & Income,Income,Median Household Income,2014,109735,"Census Tract 8003.26, Los Angeles County, California",800326,Unincorporated Santa Monica Mountains,1400000US06037800326,"(34.118765, -118.824471)",Median_Household_Income_2014_1400000US06037800326,01/01/2014
Employment & Income,Income,Median Household Income,2013,83105,"Census Tract 3002, Los Angeles County, California",300200,La Crescenta-Montrose,1400000US06037300200,"(34.228725, -118.237835)",Median_Household_Income_2013_1400000US06037300200,01/01/2013
Employment & Income,Income,Median Household Income,2014,48799,"Census Tract 4621, Los Angeles County, California",462100,Pasadena,1400000US06037462100,"(34.163369, -118.1369255)",Median_Household_Income_2014_1400000US06037462100,01/01/2014
Employment & Income,Income,Median Household Income,2016,,"Census Tract 9800.03, Los Angeles County, California",980003,Northeast Antelope Valley,1400000US06037980003,"(34.7929935, -117.957417)",Median_Household_Income_2016_1400000US06037980003,01/01/2016
Employment & Income,Income,Median Household Income,2015,96917,"Census Tract 4802.02, Los Angeles County, California",480202,San Gabriel,1400000US06037480202,"(34.108893, -118.097545)",Median_Household_Income_2015_1400000US06037480202,01/01/2015
Employment & Income,Income,Median Household Income,2011,54608,"Census Tract 6700.03, Los Angeles County, California",670003,Lomita,1400000US06037670003,"(33.797717, -118.3226775)",Median_Household_Income_2011_1400000US06037670003,01/01/2011
Employment & Income,Income,Median Household Income,2010,47500,"Census Tract 4052.01, Los Angeles County, California",405201,Baldwin Park,1400000US06037405201,"(34.0849785, -117.9522585)",Median_Household_Income_2010_1400000US06037405201,01/01/2010
Employment & Income,Income,Median Household Income,2010,34500,"Census Tract 5004.02, Los Angeles County, California",500402,Pico Rivera,1400000US06037500402,"(34.0031865, -118.076325)",Median_Household_Income_2010_1400000US06037500402,01/01/2010
Employment & Income,Income,Median Household Income,2013,39383,"Census Tract 1915, Los Angeles County, California",191500,East Hollywood,1400000US06037191500,"(34.0872185, -118.296096)",Median_Household_Income_2013_1400000US06037191500,01/01/2013
Employment & Income,Income,Median Household Income,2011,29756,"Census Tract 2948.20, Los Angeles County, California",294820,Wilmington,1400000US06037294820,"(33.779804, -118.2655705)",Median_Household_Income_2011_1400000US06037294820,01/01/2011
Employment & Income,Income,Median Household Income,2015,52106,"Census Tract 5027, Los Angeles County, California",502700,Santa Fe Springs,1400000US06037502700,"(33.956004, -118.072116)",Median_Household_Income_2015_1400000US06037502700,01/01/2015
Employment & Income,Income,Median Household Income,2016,35667,"Census Tract 2911.10, Los Angeles County, California",291110,Harbor Gateway,1400000US06037291110,"(33.920071, -118.2864)",Median_Household_Income_2016_1400000US06037291110,01/01/2016
Employment & Income,Income,Median Household Income,2015,35694,"Census Tract 5315.03, Los Angeles County, California",531503,East Los Angeles,1400000US06037531503,"(34.0294235, -118.1749085)",Median_Household_Income_2015_1400000US06037531503,01/01/2015
Employment & Income,Income,Median Household Income,2015,34780,"Census Tract 6009.02, Los Angeles County, California",600902,Inglewood,1400000US06037600902,"(33.971193, -118.3519265)",Median_Household_Income_2015_1400000US06037600902,01/01/2015
Employment & Income,Income,Median Household Income,2011,37569,"Census Tract 9106.01, Los Angeles County, California",910601,Palmdale,1400000US06037910601,"(34.5836105, -118.076306)",Median_Household_Income_2011_1400000US06037910601,01/01/2011
Employment & Income,Income,Median Household Income,2015,72083,"Census Tract 4045.03, Los Angeles County, California",404503,Vincent,1400000US06037404503,"(34.110534, -117.9121425)",Median_Household_Income_2015_1400000US06037404503,01/01/2015
Employment & Income,Income,Median Household Income,2010,77454,"Census Tract 2975, Los Angeles County, California",297500,San Pedro,1400000US06037297500,"(33.713354, -118.3018828)",Median_Household_Income_2010_1400000US06037297500,01/01/2010
Employment & Income,Income,Median Household Income,2012,29712,"Census Tract 1838.10, Los Angeles County, California",183810,Highland Park,1400000US06037183810,"(34.1074675, -118.198023)",Median_Household_Income_2012_1400000US06037183810,01/01/2012
Employment & Income,Income,Median Household Income,2015,,"Census Tract 4024.04, Los Angeles County, California",402404,Pomona,1400000US06037402404,"(34.052917, -117.81575)",Median_Household_Income_2015_1400000US06037402404,01/01/2015
Employment & Income,Income,Median Household Income,2011,50907,"Census Tract 9100.02, Los Angeles County, California",910002,Northeast Antelope Valley,1400000US06037910002,"(34.532019, -117.919491)",Median_Household_Income_2011_1400000US06037910002,01/01/2011
Employment & Income,Income,Median Household Income,2014,33477,"Census Tract 2393.20, Los Angeles County, California",239320,Florence,1400000US06037239320,"(33.978568, -118.2717375)",Median_Household_Income_2014_1400000US06037239320,01/01/2014
Employment & Income,Income,Median Household Income,2013,50096,"Census Tract 3020.04, Los Angeles County, California",302004,Glendale,1400000US06037302004,"(34.1489615, -118.2384145)",Median_Household_Income_2013_1400000US06037302004,01/01/2013
Employment & Income,Income,Median Household Income,2014,62305,"Census Tract 1897.02, Los Angeles County, California",189702,Hollywood Hills,1400000US06037189702,"(34.1137465, -118.3421255)",Median_Household_Income_2014_1400000US06037189702,01/01/2014
Employment & Income,Income,Median Household Income,2013,52481,"Census Tract 5440.01, Los Angeles County, California",544001,Carson,1400000US06037544001,"(33.8395345, -118.2156975)",Median_Household_Income_2013_1400000US06037544001,01/01/2013
Employment & Income,Income,Median Household Income,2012,130359,"Census Tract 9203.39, Los Angeles County, California",920339,Unincorporated Santa Susana Mountains,1400000US06037920339,"(34.4151555, -118.6238155)",Median_Household_Income_2012_1400000US06037920339,01/01/2012
Employment & Income,Income,Median Household Income,2012,66875,"Census Tract 6099, Los Angeles County, California",609900,San Pedro,1400000US06037609900,"(33.741006, -118.302932)",Median_Household_Income_2012_1400000US06037609900,01/01/2012
Employment & Income,Income,Median Household Income,2016,68362,"Census Tract 4086.28, Los Angeles County, California",408628,Hacienda Heights,1400000US06037408628,"(33.9825995, -117.9424605)",Median_Household_Income_2016_1400000US06037408628,01/01/2016
Employment & Income,Income,Median Household Income,2013,100750,"Census Tract 3103, Los Angeles County, California",310300,Burbank,1400000US06037310300,"(34.1994375, -118.318784)",Median_Household_Income_2013_1400000US06037310300,01/01/2013
Employment & Income,Income,Median Household Income,2013,48386,"Census Tract 9203.36, Los Angeles County, California",920336,Santa Clarita,1400000US06037920336,"(34.385239, -118.534828)",Median_Household_Income_2013_1400000US06037920336,01/01/2013
Employment & Income,Income,Median Household Income,2011,72031,"Census Tract 1288.02, Los Angeles County, California",128802,Sherman Oaks,1400000US06037128802,"(34.1684825, -118.455251)",Median_Household_Income_2011_1400000US06037128802,01/01/2011
Employment & Income,Income,Median Household Income,2015,72660,"Census Tract 2713, Los Angeles County, California",271300,Sawtelle,1400000US06037271300,"(34.023895, -118.4412965)",Median_Household_Income_2015_1400000US06037271300,01/01/2015
Employment & Income,Income,Median Household Income,2011,69464,"Census Tract 4059, Los Angeles County, California",405900,Covina,1400000US06037405900,"(34.103067, -117.8901905)",Median_Household_Income_2011_1400000US06037405900,01/01/2011
Employment & Income,Income,Median Household Income,2014,105729,"Census Tract 1373.02, Los Angeles County, California",137302,Woodland Hills,1400000US06037137302,"(34.177044, -118.6555755)",Median_Household_Income_2014_1400000US06037137302,01/01/2014
